--- Telegram Scrape Report ---
Timestamp: 2025-07-30 22:25:38
Total Channels: 36
Successful Scrapes: 35
Failed Scrapes: 0

--- Channels with Found Configs ---
v2raying: 299 configs
kanfig_majani: 244 configs
freakconfig: 179 configs
wedbazvpn: 151 configs
prrofile_purple: 147 configs
v2rayngvpn: 86 configs
mtproxy_lists: 80 configs
Hope_Net: 79 configs
ai_duet: 75 configs
v2ray_sub: 62 configs
bored_vpn: 51 configs
V2ry_Proxy: 45 configs
V2ray_Collector: 38 configs
NetAccount: 24 configs
spikevpn: 24 configs
ConfigsHubPlus: 20 configs
v2ray_free_conf: 20 configs
v2raych: 20 configs
v2rayweb: 20 configs
vmesc: 20 configs
vmess_ir: 20 configs
vpnfail_v2ray: 20 configs
KINGOFV2RAY: 19 configs
outlinevpn_ru: 19 configs
vpnplusee_free: 19 configs
DailyV2Config: 18 configs
vistav2ray: 18 configs
NETMelliAnti: 17 configs
DirectVPN: 16 configs
PrivateVPNs: 16 configs
v2rayvpnchannel: 15 configs
proxy_mtproto_vpns_free: 12 configs
v2rayfree: 12 configs
vpns: 12 configs
zerobaipiao: 3 configs

--- Failed Channels ---
